year,category,movie,winner,name,gender,order
1999,Best Original Song - Motion Picture,The Magic Sword: Quest for Camelot,TRUE,Carole Bayer Sager,F,1
1999,Best Original Song - Motion Picture,City of Angels,FALSE,Alanis Morissette,F,2
1999,Best Director - Motion Picture,Saving Private Ryan,TRUE,Steven Spielberg,M,3
1999,Best Original Score - Motion Picture,The Truman Show,TRUE,Burkhard von Dallwitz,M,8
1999,Best Original Score - Motion Picture,The Truman Show,TRUE,Philip Glass,M,13
1999,Best Original Song - Motion Picture,The Magic Sword: Quest for Camelot,TRUE,David Foster,M,15
1999,Best Original Song - Motion Picture,The Magic Sword: Quest for Camelot,TRUE,Alberto Testa,M,19
1999,Best Original Song - Motion Picture,The Magic Sword: Quest for Camelot,TRUE,Tony Renis,M,20
1999,Best Screenplay - Motion Picture,Shakespeare in Love,TRUE,Marc Norman,M,25
1999,Best Screenplay - Motion Picture,Shakespeare in Love,TRUE,Tom Stoppard,M,30
1999,Best Director - Motion Picture,Shakespeare in Love,FALSE,John Madden,M,4
1999,Best Director - Motion Picture,The Truman Show,FALSE,Peter Weir,M,5
1999,Best Director - Motion Picture,The Horse Whisperer,FALSE,Robert Redford,M,6
1999,Best Director - Motion Picture,Elizabeth,FALSE,Shekhar Kapur,M,7
1999,Best Original Score - Motion Picture,A Bug's Life,FALSE,Randy Newman,M,9
1999,Best Original Score - Motion Picture,Mulan,FALSE,Jerry Goldsmith,M,10
1999,Best Original Score - Motion Picture,Saving Private Ryan,FALSE,John Williams,M,11
1999,Best Original Score - Motion Picture,The Prince of Egypt,FALSE,Stephen Schwartz,M,12
1999,Best Original Score - Motion Picture,The Prince of Egypt,FALSE,Hans Zimmer,M,14
1999,Best Original Song - Motion Picture,Mulan,FALSE,Matthew Wilder,M,16
1999,Best Original Song - Motion Picture,Mick Jones,FALSE,Still Crazy,M,17
1999,Best Original Song - Motion Picture,The Mighty,FALSE,Sting,M,18
1999,Best Original Song - Motion Picture,Mulan,FALSE,David Zippel,M,21
1999,Best Original Song - Motion Picture,Marti Frederiksen,FALSE,Still Crazy,M,22
1999,Best Original Song - Motion Picture,Chris Difford,FALSE,Still Crazy,M,23
1999,Best Original Song - Motion Picture,The Mighty,FALSE,Trevor Jones,M,24
1999,Best Screenplay - Motion Picture,Bulworth,FALSE,Warren Beatty,M,26
1999,Best Screenplay - Motion Picture,Happiness,FALSE,Todd Solondz,M,27
1999,Best Screenplay - Motion Picture,Saving Private Ryan,FALSE,Robert Rodat,M,28
1999,Best Screenplay - Motion Picture,The Truman Show,FALSE,Andrew Niccol,M,29
2000,Best Original Score - Motion Picture,Eyes Wide Shut,FALSE,Jocelyn Pook,F,1
2000,Best Original Song - Motion Picture,Austin Powers: The Spy Who Shagged Me,FALSE,Madonna,F,2
2000,Best Original Song - Motion Picture,Magnolia,FALSE,Aimee Mann,F,3
2000,Best Director - Motion Picture,American Beauty,TRUE,Sam Mendes,M,4
2000,Best Original Score - Motion Picture,The Legend of 1900,TRUE,Ennio Morricone,M,12
2000,Best Original Song - Motion Picture,Phil Collins,TRUE,Tarzan,M,17
2000,Best Screenplay - Motion Picture,American Beauty,TRUE,Alan Ball,M,23
2000,Best Director - Motion Picture,The Talented Mr. Ripley,FALSE,Anthony Minghella,M,5
2000,Best Director - Motion Picture,The Insider,FALSE,Michael Mann,M,6
2000,Best Director - Motion Picture,The End of the Affair,FALSE,Neil Jordan,M,7
2000,Best Director - Motion Picture,The Hurricane,FALSE,Norman Jewison,M,8
2000,Best Original Score - Motion Picture,The End of the Affair,FALSE,Michael Nyman,M,9
2000,Best Original Score - Motion Picture,The Straight Story,FALSE,Angelo Badalamenti,M,10
2000,Best Original Score - Motion Picture,The Talented Mr. Ripley,FALSE,Gabriel Yared,M,11
2000,Best Original Score - Motion Picture,American Beauty,FALSE,Thomas Newman,M,13
2000,Best Original Score - Motion Picture,Angela's Ashes,FALSE,John Williams,M,14
2000,Best Original Score - Motion Picture,Anna and the King,FALSE,George Fenton,M,15
2000,Best Original Score - Motion Picture,The Insider,FALSE,Pieter Bourke,M,16
2000,Best Original Song - Motion Picture,Anna and the King,FALSE,Kenneth 'Babyface' Edmonds,M,18
2000,Best Original Song - Motion Picture,Toy Story 2,FALSE,Randy Newman,M,19
2000,Best Original Song - Motion Picture,Austin Powers: The Spy Who Shagged Me,FALSE,William Orbit,M,20
2000,Best Original Song - Motion Picture,Anna and the King,FALSE,George Fenton,M,21
2000,Best Original Song - Motion Picture,Anna and the King,FALSE,Robert Kraft,M,22
2000,Best Screenplay - Motion Picture,Being John Malkovich,FALSE,Charlie Kaufman,M,24
2000,Best Screenplay - Motion Picture,The Cider House Rules,FALSE,John Irving,M,25
2000,Best Screenplay - Motion Picture,The Insider,FALSE,Eric Roth,M,26
2000,Best Screenplay - Motion Picture,The Sixth Sense,FALSE,M. Night Shyamalan,M,27
2000,Best Screenplay - Motion Picture,The Insider,FALSE,Michael Mann,M,28
2001,Best Original Score - Motion Picture,Gladiator,TRUE,Lisa Gerrard,F,1
2001,Best Original Score - Motion Picture,Chocolat,FALSE,Rachel Portman,F,2
2001,Best Original Score - Motion Picture,All the Pretty Horses,FALSE,Kristin Wilkinson,F,3
2001,Best Original Song - Motion Picture,Dancer in the Dark,FALSE,Bjork,F,4
2001,Best Director - Motion Picture,"Crouching Tiger, Hidden Dragon",TRUE,Ang Lee,M,5
2001,Best Original Score - Motion Picture,Gladiator,TRUE,Hans Zimmer,M,10
2001,Best Original Song - Motion Picture,Wonder Boys,TRUE,Bob Dylan,M,16
2001,Best Screenplay - Motion Picture,Traffic,TRUE,Stephen Gaghan,M,23
2001,Best Director - Motion Picture,István Szabó,FALSE,Sunshine,M,6
2001,Best Director - Motion Picture,Gladiator,FALSE,Ridley Scott,M,7
2001,Best Director - Motion Picture,Traffic,FALSE,Steven Soderbergh,M,8
2001,Best Director - Motion Picture,Erin Brockovich,FALSE,Steven Soderbergh,M,9
2001,Best Original Score - Motion Picture,All the Pretty Horses,FALSE,Marty Stuart,M,11
2001,Best Original Score - Motion Picture,All the Pretty Horses,FALSE,Larry Paxton,M,12
2001,Best Original Score - Motion Picture,Maurice Jarre,FALSE,Sunshine,M,13
2001,Best Original Score - Motion Picture,"Crouching Tiger, Hidden Dragon",FALSE,Dun Tan,M,14
2001,Best Original Score - Motion Picture,Malèna,FALSE,Ennio Morricone,M,15
2001,Best Original Song - Motion Picture,Frequency,FALSE,Garth Brooks,M,17
2001,Best Original Song - Motion Picture,Miss Congeniality,FALSE,Bosson,M,18
2001,Best Original Song - Motion Picture,The Emperor's New Groove,FALSE,Sting,M,19
2001,Best Original Song - Motion Picture,Dancer in the Dark,FALSE,Lars von Trier,M,20
2001,Best Original Song - Motion Picture,Dancer in the Dark,FALSE,Sjón Sigurdsson,M,21
